Epoch,NEQ_Splitting,EQ_Splitting,NEQ_EI,EQ_EI
0,18.7368823242188,18.721787109375,18.2475219726563,17.9609216308594
2,22.4084765625,22.1445825195313,19.6885595703125,19.5847595214844
4,23.6114965820313,22.7812890625,20.3291723632813,20.0586096191406
6,24.0918090820313,23.2655541992188,20.8967724609375,20.5388989257813
8,24.5734619140625,23.6401635742188,21.5502490234375,20.79439453125
10,24.9993872070313,24.25390625,23.0237133789063,20.9123486328125
12,25.1549243164063,24.695458984375,23.4198168945313,21.1798681640625
14,25.5237231445313,24.728876953125,23.7238134765625,21.2661352539063
16,25.5549340820313,25.063974609375,23.9388842773438,21.6956372070313
18,25.7588696289063,25.0288623046875,23.9994311523438,22.8148657226563
20,25.6410107421875,25.2236450195313,24.08234375,23.3419580078125
22,25.83625,25.2965698242188,24.2544018554688,23.5493823242188
24,26.0148974609375,25.3753564453125,24.3213110351563,23.637841796875
26,26.047724609375,25.4305541992188,24.3669848632813,23.6425073242188
28,26.1075219726563,25.5152905273438,24.0549658203125,23.6653930664063
30,26.1142797851563,25.5552026367188,24.4496166992188,23.7510668945313
32,26.1918872070313,25.5212890625,24.4996118164063,23.562490234375
34,26.2256811523438,25.6822094726563,24.4043090820313,23.8890161132813
36,26.1743676757813,25.8019653320313,24.5531811523438,23.888525390625
38,26.02392578125,25.5201245117188,24.533193359375,23.946083984375
40,26.0860815429688,25.7188891601563,24.5624560546875,23.7427124023438
42,26.242890625,25.89607421875,24.5815991210938,24.1548779296875
44,26.23615234375,25.9195141601563,24.612421875,24.3923852539063
46,26.3911181640625,25.961328125,24.758056640625,24.1000048828125
48,26.3236303710938,25.9731860351563,25.00802734375,24.5625244140625
50,26.422236328125,26.0484912109375,25.2261669921875,24.6017602539063
52,26.1320581054688,25.903095703125,25.1536376953125,24.5962329101563
54,26.5233520507813,26.0927490234375,25.0597924804688,24.7146069335938
56,26.3757421875,26.1590551757813,24.6157495117188,24.6741748046875
58,26.5249560546875,25.8833740234375,25.2235571289063,24.7472680664063
60,26.4116845703125,26.0320483398438,25.3749560546875,24.7410327148438
62,26.2275537109375,26.1434399414063,25.3376684570313,24.8097436523438
64,26.5378540039063,26.1504296875,25.3626123046875,24.808515625
66,26.57572265625,26.1488842773438,25.2937817382813,24.7912109375
68,26.6086010742188,26.1725146484375,25.2817065429688,24.8390478515625
70,26.321259765625,26.1690502929688,25.3002001953125,24.8685375976563
72,26.708564453125,26.2113330078125,25.4754028320313,24.8989135742188
74,26.6743505859375,26.1398071289063,25.3164208984375,24.9049047851563
76,26.692802734375,26.324248046875,25.4356079101563,24.765556640625
78,26.61318359375,26.351103515625,25.5621118164063,24.90916015625
80,26.6361376953125,26.3661279296875,25.3966625976563,24.9732080078125
82,26.7315087890625,26.2831860351563,25.4467797851563,24.957578125
84,26.7782275390625,26.3951831054688,25.474921875,24.93904296875
86,26.7631079101563,26.4327709960938,25.4423681640625,24.9827880859375
88,26.735234375,26.363173828125,25.4711962890625,24.9860131835938
90,26.784345703125,26.3931127929688,25.52693359375,24.9811645507813
92,26.7913696289063,26.491669921875,25.1958544921875,25.002041015625
94,26.7166381835938,26.4006787109375,25.5370190429688,25.044736328125
96,26.78142578125,26.4508203125,25.5130517578125,25.0017822265625
98,26.8831787109375,26.5080786132813,25.59390625,25.015517578125
100,26.894306640625,26.465986328125,25.5545581054688,25.042783203125
102,26.8565771484375,26.4317309570313,25.5698754882813,25.0447875976563
104,26.8006591796875,26.5155322265625,25.4884741210938,25.0340380859375
106,26.8130883789063,26.47861328125,25.6222680664063,25.0867529296875
108,26.7232080078125,26.5326196289063,25.6469580078125,25.0646313476563
110,26.8779833984375,26.51568359375,25.5991918945313,25.0060205078125
112,26.898076171875,26.5269311523438,25.5065844726563,25.1378540039063
114,26.633359375,26.6464599609375,25.641455078125,25.0561572265625
116,26.9218139648438,26.607705078125,25.6242431640625,25.0620068359375
118,26.9216577148438,26.5621118164063,25.706748046875,25.1553588867188
120,26.6757885742188,26.622119140625,25.6829174804688,25.1132275390625
122,27.0249169921875,26.6287915039063,25.680849609375,25.1440112304688
124,27.01529296875,26.6290454101563,25.6575170898438,25.14240234375
126,27.0084204101563,26.6395361328125,25.7313403320313,25.0293188476563
128,26.9674267578125,26.5961547851563,25.6831225585938,25.1397485351563
130,27.0080639648438,26.6755126953125,25.7495678710938,25.1845141601563
132,27.0238159179688,26.6818017578125,25.49109375,25.1582421875
134,26.8110131835938,26.6740087890625,25.6964721679688,25.1387036132813
136,26.9475830078125,26.718056640625,25.722490234375,25.2034204101563
138,26.979326171875,26.638466796875,25.648681640625,25.1247094726563
140,26.8504931640625,26.7491552734375,25.787607421875,25.184228515625
142,27.044130859375,26.488330078125,25.685498046875,25.0663427734375
144,27.0429736328125,26.6927709960938,25.7121704101563,25.2028173828125
146,27.1011547851563,26.720166015625,25.7544580078125,25.2244067382813
148,27.0936108398438,26.688740234375,25.7811669921875,25.1819287109375
150,27.070380859375,26.718232421875,25.8156469726563,25.2465356445313
152,27.1372534179688,26.7618579101563,25.772626953125,25.1975634765625
154,27.1107006835938,26.5348706054688,25.809755859375,25.222265625
156,27.0524389648438,26.7975561523438,25.7757983398438,25.1326904296875
158,27.1012426757813,26.7980444335938,25.7587255859375,25.2302124023438
160,27.1670678710938,26.7666455078125,25.83556640625,25.1422802734375
162,27.1779711914063,26.84380859375,25.7511596679688,25.2651586914063
164,27.1246533203125,26.68966796875,25.8082080078125,25.22923828125
166,27.2009619140625,26.78990234375,25.8052978515625,25.3028833007813
168,27.0900146484375,26.8061206054688,25.6946923828125,25.26982421875
170,27.059873046875,26.808662109375,25.7347192382813,25.2863500976563
172,27.1358520507813,26.789423828125,25.8382470703125,25.2644775390625
174,27.1145263671875,26.85255859375,25.8540966796875,25.2980004882813
176,27.072216796875,26.5625830078125,25.8350537109375,25.3077172851563
178,27.084892578125,26.890380859375,25.8445825195313,25.348857421875
180,27.1709985351563,26.8151708984375,25.8706909179688,25.2862231445313
182,27.1477075195313,26.7355639648438,25.9225390625,25.2523706054688
184,27.0872338867188,26.8846044921875,25.74390625,25.2872802734375
186,27.1683862304688,26.7228100585938,25.8964672851563,25.3414135742188
188,27.140546875,26.7763598632813,25.849228515625,25.3638989257813
190,26.8068334960938,26.8242407226563,25.7386596679688,25.323310546875
192,27.185234375,26.79384765625,25.9144970703125,25.2878271484375
194,27.1205126953125,26.9117895507813,25.9420141601563,25.3247143554688
196,27.1612231445313,26.8990234375,25.8908666992188,25.3364697265625
198,27.0085327148438,26.8632690429688,25.8578271484375,25.3483056640625
200,27.1889233398438,26.9057177734375,25.9317797851563,25.19533203125
202,27.1413330078125,26.9015161132813,25.9235180664063,25.2939916992188
204,27.1436743164063,26.8643798828125,25.9700854492188,25.3432836914063
206,27.1665014648438,26.9097387695313,25.855439453125,25.3914453125
208,27.1422290039063,26.928779296875,25.9544702148438,25.387587890625
210,27.1265356445313,26.8951586914063,25.9138134765625,25.402763671875
212,27.1001342773438,26.9323876953125,25.7576733398438,25.3072241210938
214,27.053330078125,26.9137133789063,25.9490234375,25.3385400390625
216,27.1897265625,26.9826342773438,25.7533642578125,25.4086352539063
218,27.113525390625,26.913798828125,25.910439453125,25.3448291015625
220,27.1639575195313,26.9208715820313,25.9395458984375,25.3945849609375
222,26.9635986328125,26.8771630859375,25.7875634765625,25.4418041992188
224,27.038955078125,26.9125122070313,25.8911694335938,25.3974047851563
226,27.1951611328125,26.8852783203125,25.9891381835938,25.3568774414063
228,27.1548779296875,26.9661669921875,25.9753588867188,25.4324658203125
230,27.0884252929688,26.9874609375,25.9932836914063,25.4374829101563
232,27.1393408203125,26.9416137695313,25.9707275390625,25.4273388671875
234,27.1965502929688,27.029150390625,25.8801953125,25.39447265625
236,27.0886376953125,26.99091796875,25.9628393554688,25.326279296875
238,27.1551000976563,27.0123681640625,25.8666625976563,25.4528149414063
240,27.1816162109375,26.9544213867188,26.0136352539063,25.4808349609375
242,27.147841796875,26.9975610351563,25.780087890625,25.3488647460938
244,27.2023999023438,26.9009204101563,25.95029296875,25.44353515625
246,27.1359790039063,26.9731591796875,25.895791015625,25.46728515625
248,27.169912109375,27.0235546875,26.0303686523438,25.4463159179688
250,27.0094091796875,26.9231396484375,25.99177734375,25.447119140625
252,27.1807958984375,27.0209252929688,26.0253784179688,25.47681640625
254,27.1629467773438,27.0079541015625,26.0012744140625,25.4807666015625
256,27.0035498046875,27.016083984375,26.0126440429688,25.3350317382813
258,27.1535595703125,26.9865600585938,26.0234423828125,25.4443286132813
260,27.1614575195313,26.8891918945313,26.0332958984375,25.497958984375
262,27.0818115234375,27.0016064453125,26.0407836914063,25.4994213867188
264,27.1235668945313,27.0418359375,26.0297265625,25.471875
266,27.2169848632813,27.0562451171875,26.0202319335938,25.4787646484375
268,27.1882421875,26.8668920898438,26.0148071289063,25.4940869140625
270,27.19142578125,27.0037939453125,26.0220849609375,25.480107421875
272,27.135380859375,27.1033154296875,25.9820336914063,25.5023388671875
274,27.1793774414063,27.0697998046875,26.046455078125,25.518583984375
276,27.1243481445313,27.0186865234375,26.0576147460938,25.48427734375
278,27.1587280273438,27.0563061523438,26.0262573242188,25.4783081054688
280,27.1890966796875,27.06693359375,26.0317993164063,25.475771484375
282,27.1241479492188,27.021767578125,26.01734375,25.4745703125
284,27.129873046875,27.0779321289063,26.027275390625,25.3680102539063
286,27.1468530273438,26.9755786132813,26.0486572265625,25.5310522460938
288,27.0898706054688,27.0291357421875,25.9273901367188,25.4678515625
290,27.1189233398438,26.998447265625,26.0579174804688,25.5197412109375
292,27.145068359375,27.1161499023438,26.0973876953125,25.4240869140625
294,27.0992163085938,27.096640625,25.9796655273438,25.3036010742188
296,27.112783203125,27.011728515625,25.8876782226563,25.4630859375
298,27.051806640625,27.0315478515625,26.0443798828125,25.5194067382813
